prompt_id,model_name,s_bert_pred,m_bert_pred
255,kimi_k2,1,1
296,kimi_k2,1,1
328,kimi_k2,1,1
476,kimi_k2,1,1
513,kimi_k2,1,1
688,kimi_k2,1,1
763,kimi_k2,1,1
972,kimi_k2,1,1
1042,kimi_k2,1,0
1479,kimi_k2,1,1
1633,kimi_k2,1,1
1658,kimi_k2,1,1
1721,kimi_k2,1,1
1814,kimi_k2,1,1
2003,kimi_k2,1,1
2020,kimi_k2,1,1
2178,kimi_k2,1,1
2368,kimi_k2,1,0
2740,kimi_k2,1,1
2860,kimi_k2,1,1
2891,kimi_k2,1,1
2956,kimi_k2,1,1
3054,kimi_k2,1,1
3157,kimi_k2,1,1
3321,kimi_k2,1,1
3433,kimi_k2,1,1
3557,kimi_k2,1,1
3597,kimi_k2,1,1
3864,kimi_k2,1,1
3930,kimi_k2,1,1
3935,kimi_k2,1,1
8439,kimi_k2,1,1
8485,kimi_k2,1,1
8674,kimi_k2,1,1
8778,kimi_k2,1,1
8817,kimi_k2,1,1
8932,kimi_k2,1,1
8951,kimi_k2,1,1
9066,kimi_k2,1,1
9085,kimi_k2,1,1
9091,kimi_k2,1,1
9357,kimi_k2,1,1
9558,kimi_k2,1,1
9569,kimi_k2,1,1
9708,kimi_k2,1,1
9822,kimi_k2,1,1
9918,kimi_k2,1,1
9938,kimi_k2,1,1
10008,kimi_k2,1,1
10086,kimi_k2,1,1
10120,kimi_k2,1,1
10363,kimi_k2,1,1
10642,kimi_k2,1,1
10787,kimi_k2,1,1
11278,kimi_k2,1,1
11328,kimi_k2,1,1
11422,kimi_k2,1,1
11529,kimi_k2,1,1
11584,kimi_k2,1,1
11861,kimi_k2,1,1
11880,kimi_k2,1,1
11885,kimi_k2,1,1
11945,kimi_k2,1,1
12130,kimi_k2,1,1
12134,kimi_k2,1,1
12368,kimi_k2,1,1
12505,kimi_k2,1,1
12621,kimi_k2,1,1
12631,kimi_k2,1,1
12739,kimi_k2,1,1
12789,kimi_k2,1,1
12915,kimi_k2,1,1
13144,kimi_k2,1,1
13216,kimi_k2,1,1
13219,kimi_k2,1,1
13356,kimi_k2,1,1
13403,kimi_k2,1,1
13683,kimi_k2,1,1
13927,kimi_k2,1,1
13953,kimi_k2,1,1
13968,kimi_k2,1,1
14102,kimi_k2,1,1
14132,kimi_k2,1,1
14147,kimi_k2,1,1
14285,kimi_k2,1,1
14306,kimi_k2,1,1
14447,kimi_k2,1,1
14561,kimi_k2,1,0
14881,kimi_k2,1,0
15174,kimi_k2,1,0
15197,kimi_k2,1,0
15202,kimi_k2,0,0
15225,kimi_k2,1,0
15330,kimi_k2,1,0
15424,kimi_k2,1,0
15465,kimi_k2,1,0
15539,kimi_k2,1,0
15662,kimi_k2,1,0
15900,kimi_k2,1,0
15996,kimi_k2,1,0
16466,kimi_k2,1,0
16505,kimi_k2,1,0
16524,kimi_k2,1,0
16603,kimi_k2,1,0
16627,kimi_k2,1,0
16650,kimi_k2,1,0
16693,kimi_k2,1,0
16723,kimi_k2,1,0
16810,kimi_k2,1,0
16894,kimi_k2,1,1
17040,kimi_k2,1,1
17049,kimi_k2,1,1
17055,kimi_k2,1,1
17221,kimi_k2,1,1
17304,kimi_k2,1,1
18341,kimi_k2,1,1
18443,kimi_k2,1,1
18504,kimi_k2,1,1
18618,kimi_k2,1,1
18708,kimi_k2,1,1
19160,kimi_k2,1,1
19199,kimi_k2,1,1
19386,kimi_k2,1,1
19395,kimi_k2,1,1
19499,kimi_k2,1,1
19538,kimi_k2,1,1
19551,kimi_k2,1,1
19699,kimi_k2,1,1
19838,kimi_k2,1,1
19934,kimi_k2,1,1
19964,kimi_k2,1,1
20073,kimi_k2,1,0
20160,kimi_k2,1,1
20210,kimi_k2,1,1
20250,kimi_k2,1,1
20262,kimi_k2,1,0
20384,kimi_k2,1,1
20401,kimi_k2,1,1
20444,kimi_k2,1,1
20724,kimi_k2,1,1
20882,kimi_k2,1,1
20919,kimi_k2,1,1
20985,kimi_k2,1,1
21018,kimi_k2,1,1
21027,kimi_k2,1,1
21496,kimi_k2,1,1
21510,kimi_k2,1,1
21601,kimi_k2,1,1
21618,kimi_k2,1,1
21659,kimi_k2,1,1
21693,kimi_k2,1,1
21729,kimi_k2,1,1
22187,kimi_k2,1,1
22236,kimi_k2,1,1
22418,kimi_k2,1,1
